state,color_party,likelihood,electoral_college_votes
WA,blue,safe,12
OR,blue,safe,7
CA,blue,safe,55
AK,red,leaning,3
HI,blue,safe,4
ID,red,safe,4
NV,blue,leaning,6
MT,red,likely,3
WY,red,safe,3
UT,red,likely,6
AZ,blue,leaning,11
CO,blue,likely,9
NM,blue,likely,5
ND,red,safe,3
SD,red,safe,3
NE,split,split,5
KS,red,likely,6
OK,red,safe,7
TX,red,leaning,38
MN,blue,leaning,10
IA,tossup,tossup,6
MO,red,likely,10
AR,red,safe,6
LA,red,safe,8
WI,blue,leaning,10
IL,blue,safe,20
MI,blue,leaning,16
IN,red,safe,11
OH,tossup,tossup,18
KY,red,safe,8
TN,red,safe,11
MS,red,safe,6
AL,red,safe,9
NY,blue,safe,29
NJ,blue,safe,14
PA,blue,leaning,20
WV,red,safe,5
DE,blue,safe,3
MD,blue,safe,10
DC,blue,safe,3
VA,blue,likely,13
NC,tossup,tossup,15
SC,red,likely,9
GA,tossup,tossup,16
FL,tossup,tossup,29
VT,blue,safe,3
NH,blue,leaning,4
ME,split,split,4
MA,blue,safe,11
CT,blue,safe,7
RI,blue,safe,4
